1;AMBIENTAL C107 ;EPSON S18;U0000021062;41;41;X
2; SISTEMAS ELETRICOS C110;SEM PROJETOR;X;7;1;X
3; MULTIDICIPLINAR C111;SEM PROJETOR;X;11;19;X
4;RADIO E AUDIO;EPSON S18;U0000020950;27;31;X
5;FOTOGRAFIA;SEM PROJETOR;X;62;61;X
6;VIDEO E TV;SEM PROJETOR;X;9;8;X
7; MECANICA C211;EPSON S12;U0000019858;7;50;X
8; MEC C210;EPSON S18;U0000020422;28;54;22
9; INFO 1 C208;EPSON S18;U0000020968;27;48;26
10; INFO 2 C207;EPSON S18;U0000020247;20;47;23
11; INFO 3 C206;EPSON S18;U0000014972;28;45;28
12; INFO 4 C205;EPSON S18;U0000241365;21;42;20
13; INFO 5  C204;EPSON S18;U0000014477;24;40;21
14; INFO 6 C203;EPSON S18;U0000020316;26;52;26
